55.910487, -3.324412
55.910919, -3.324337
55.909037, -3.320422
55.908958, -3.321046
55.912408, -3.322672
55.908773, -3.322166
55.910102, -3.321885
55.910504, -3.322296
55.912119, -3.323616
55.908466, -3.320173
55.911874, -3.321054
55.911361, -3.322449
55.912563, -3.321891
55.909368, -3.320646
55.911388, -3.323577
55.908325, -3.321916
55.911666, -3.321719
55.90936, -3.323329
55.911464, -3.325173
55.911152, -3.318075
55.908085, -3.321303
55.910685, -3.323665
55.910315, -3.321666
55.911131, -3.319904
55.910337, -3.322081
55.910859, -3.322916
55.911906, -3.324268
55.911929, -3.319571
